#,Ticker,Name,Adj.Slope90,Adj.Slope125,Adj.Slope250,Avg.Slope.125.250,Sector,Industry,"Max Gap","Target Weight","Stock Trend - SMA100",ATR,Updated,"Close Price"
46,A,"Agilent Technologies Inc Common",54.1,62.44,12.62,37.530000,Healthcare,"Advanced Medical Equipment & Technology",3.62,7.47,1,0.76,2017-05-16,56.83
47,EXPE,"Expedia Inc Common",53.9,17.87,14.67,16.270000,"Consumer Cyclicals","Leisure & Recreation",2.57,6.58,1,2.21,2017-05-16,145.37
48,CNC,"Centene Corp Common",53.9,85.58,0.09,42.835000,Healthcare,"Managed Healthcare",5.30,4.83,1,1.58,2017-05-16,76.44
49,TIF,"Tiffany & Co Common",53.6,39.47,57.31,48.390000,"Consumer Cyclicals","Apparel & Accessories Retailers",3.82,6.92,1,1.33,2017-05-16,92.45
50,COL,"Rockwell Collins Inc Common",52.7,21.44,14.76,18.100000,Industrials,"Aerospace & Defense",5.13,7.60,1,1.37,2017-05-16,103.99
51,MCD,"McDonald's Corp Common",52.6,34.72,5.76,20.240000,"Consumer Cyclicals","Restaurants & Bars",5.57,11.11,1,1.32,2017-05-16,147.29
52,CTXS,"Citrix Systems Inc Common",51.9,57.71,23.54,40.625000,Technology,Software,7.09,5.60,1,1.51,2017-05-16,84.83
53,CMG,"Chipotle Mexican Grill Inc Common",51.9,41.28,1.03,21.155000,"Consumer Cyclicals","Restaurants & Bars",4.92,4.90,1,10.06,2017-05-16,496.14
54,ORCL,"Oracle Corp Common",51.5,35.13,4.09,19.610000,Technology,Software,6.23,10.48,1,0.43,2017-05-16,45.29
55,AVGO,"Broadcom Ltd Common",51.0,85.97,43.79,64.880000,Technology,Semiconductors,3.84,6.50,1,3.70,2017-05-16,240.68
56,RCL,"Royal Caribbean Cruises Ltd Common",50.8,65.76,43.92,54.840000,"Consumer Cyclicals","Hotels, Motels & Cruise Lines",9.09,5.64,1,1.90,2017-05-16,107.34
57,SWK,"Stanley Black & Decker Inc Common",49.8,36.87,10.67,23.770000,Industrials,"Industrial Machinery & Equipment",3.65,7.51,1,1.82,2017-05-16,136.94
58,DGX,"Quest Diagnostics Inc Common",47.6,42.21,29.91,36.060000,Healthcare,"Healthcare Facilities & Services",6.03,8.68,1,1.23,2017-05-16,106.39
59,MCO,"Moody's Corp Common",46.9,48.20,5.20,26.700000,Industrials,"Professional Information Services",2.43,6.94,1,1.66,2017-05-16,115.23
60,YHOO,"Yahoo! Inc Common",46.5,52.47,20.20,36.335000,Technology,"Online Services",3.54,8.36,1,0.61,2017-05-16,50.96
61,HD,"Home Depot Inc Common",46.5,44.83,9.04,26.935000,"Consumer Cyclicals","Home Improvement Products & Services Retailers",1.82,9.14,1,1.73,2017-05-16,158.26
62,EFX,"Equifax Inc Common",46.1,44.07,0.06,22.065000,Industrials,"Professional Information Services",5.03,7.60,1,1.78,2017-05-16,135.68
63,SPGI,"S&P Global Inc Common",45.2,37.51,9.19,23.350000,Industrials,"Professional Information Services",3.00,8.58,1,1.62,2017-05-16,139.02
64,MJN,"Mead Johnson Nutrition Co Common",45.1,66.78,-0.00,33.390000,"Consumer non-Cyclicals","Food Processing",21.41,35.61,1,0.25,2017-05-16,88.97
65,ILMN,"Illumina Inc Common",44.7,100.38,2.04,51.210000,Healthcare,"Advanced Medical Equipment & Technology",16.60,5.24,1,3.39,2017-05-16,178.24
66,CCL,"Carnival Corp Common",44.0,44.48,31.59,38.035000,"Consumer Cyclicals","Hotels, Motels & Cruise Lines",2.38,7.97,1,0.77,2017-05-16,61.2
67,PYPL,"PayPal Holdings Inc Common",43.7,35.48,16.48,25.980000,Technology,"Online Services",6.17,6.76,1,0.74,2017-05-16,50.34
68,MCHP,"Microchip Technology Inc Common",42.8,47.21,49.45,48.330000,Technology,Semiconductors,6.00,6.12,1,1.33,2017-05-16,81.63
69,VRSN,"Verisign Inc Common",42.4,32.07,0.66,16.365000,Technology,"IT Services & Consulting",3.14,7.86,1,1.14,2017-05-16,89.93
70,LEN,"Lennar Corp Common",42.2,47.48,1.54,24.510000,"Consumer Cyclicals",Homebuilding,5.99,6.12,1,0.84,2017-05-16,51.43
71,ROP,"Roper Technologies Inc Common",41.9,48.45,25.91,37.180000,Industrials,"Industrial Machinery & Equipment",4.76,8.87,1,2.53,2017-05-16,224.19
72,WMT,"Wal-Mart Stores Inc Common",41.2,6.92,-0.00,3.460000,"Consumer non-Cyclicals","Food Retail & Distribution",3.00,10.07,1,0.75,2017-05-16,75.11
73,CRM,"Salesforce.Com Inc Common",40.5,50.10,0.20,25.150000,Technology,"IT Services & Consulting",3.02,8.83,1,1.02,2017-05-16,89.75
74,PPL,"PPL Corp Common",40.5,38.27,-0.00,19.135000,Utilities,"Multiline Utilities",2.04,9.84,1,0.39,2017-05-16,38.48
75,DLPH,"Delphi Automotive PLC Common",40.4,52.57,15.15,33.860000,"Consumer Cyclicals","Auto, Truck & Motorcycle Parts",10.91,4.74,1,1.83,2017-05-16,87.06
76,DHI,"D.R. Horton Inc Common",40.0,47.70,0.02,23.860000,"Consumer Cyclicals",Homebuilding,6.61,6.04,1,0.56,2017-05-16,33.56
77,SHW,"Sherwin-Williams Co Common",39.7,59.03,1.86,30.445000,"Basic Materials","Commodity Chemicals",7.61,8.96,1,3.75,2017-05-16,336.88
78,RAI,"Reynolds American Inc Common",39.3,49.20,26.63,37.915000,"Consumer non-Cyclicals",Tobacco,3.06,16.12,1,0.41,2017-05-16,66.27
79,PHM,"PulteGroup Inc Common",38.9,61.61,6.05,33.830000,"Consumer Cyclicals",Homebuilding,5.88,5.34,1,0.43,2017-05-16,23.07
80,AET,"Aetna Inc Common",38.8,6.51,8.23,7.370000,Healthcare,"Managed Healthcare",3.26,7.29,1,1.94,2017-05-16,141.86
81,HAS,"Hasbro Inc Common",38.7,44.42,11.24,27.830000,"Consumer Cyclicals","Toys & Children's Products",14.14,7.15,1,1.41,2017-05-16,101.02
82,BA,"Boeing Co Common",38.4,54.80,50.06,52.430000,Industrials,"Aerospace & Defense",4.24,8.10,1,2.25,2017-05-16,182.7
83,XEL,"Xcel Energy Inc Common",38.3,37.56,0.21,18.885000,Utilities,"Electric Utilities",1.87,10.53,1,0.43,2017-05-16,45.57
84,HOLX,"Hologic Inc Common",38.2,28.56,21.56,25.060000,Healthcare,"Advanced Medical Equipment & Technology",5.09,5.97,1,0.73,2017-05-16,43.44
85,AME,"Ametek Inc Common",37.9,43.86,15.98,29.920000,Industrials,"Electrical Components & Equipment",3.17,7.83,1,0.76,2017-05-16,59.81
86,WFM,"Whole Foods Market Inc Common",37.8,6.79,0.06,3.425000,"Consumer non-Cyclicals","Food Retail & Distribution",9.98,4.71,1,0.77,2017-05-16,36.49
87,PNR,"Pentair plc Common",37.5,21.44,0.00,10.720000,Industrials,"Industrial Machinery & Equipment",3.82,5.91,1,1.11,2017-05-16,65.5
88,LEG,"Leggett & Platt Inc Common",37.3,9.21,-0.00,4.605000,"Consumer Cyclicals","Home Furnishings",2.50,7.75,1,0.67,2017-05-16,51.72
89,COO,"Cooper Companies Inc Common",37.3,51.03,10.59,30.810000,Healthcare,"Medical Equipment, Supplies & Distribution",3.32,8.43,1,2.50,2017-05-16,210.46
90,EL,"Estee Lauder Companies Inc Class A Common",37.1,36.01,-2.55,16.730000,"Consumer non-Cyclicals","Personal Products",4.37,7.44,1,1.23,2017-05-16,91.9
91,ETN,"Eaton Corporation PLC Common",36.9,34.37,20.58,27.475000,Industrials,"Electrical Components & Equipment",2.98,7.11,1,1.09,2017-05-16,77.24
92,MMM,"3M Co Common",36.8,30.27,6.62,18.445000,Industrials,"Industrial Conglomerates",1.88,12.16,1,1.63,2017-05-16,197.91
93,ADSK,"Autodesk Inc Common",36.8,47.21,68.33,57.770000,Technology,Software,3.32,6.05,1,1.62,2017-05-16,98.03
94,PNW,"Pinnacle West Capital Corp Common",36.1,33.59,3.83,18.710000,Utilities,"Electric Utilities",2.10,9.00,1,0.93,2017-05-16,83.89
95,V,"Visa Inc Class A Common",36.0,43.08,11.70,27.390000,Technology,"Online Services",4.59,10.73,1,0.87,2017-05-16,93.15
96,SYK,"Stryker Corp Common",35.9,46.52,11.42,28.970000,Healthcare,"Medical Equipment, Supplies & Distribution",2.42,9.10,1,1.48,2017-05-16,134.77
97,NEE,"NextEra Energy Inc Common",34.3,40.81,0.50,20.655000,Utilities,"Electric Utilities",2.21,9.57,1,1.42,2017-05-16,135.9
98,MHK,"Mohawk Industries Inc Common",34.3,47.66,11.07,29.365000,"Consumer Cyclicals","Home Furnishings",3.70,6.94,1,3.33,2017-05-16,231.27
99,CCI,"Crown Castle International Corp Common",34.0,30.21,-0.44,14.885000,Financials,"Specialized REITs",3.04,8.27,1,1.16,2017-05-16,95.93
100,PVH,"PVH Corp Common",33.8,0.00,-0.11,-0.055000,"Consumer Cyclicals","Apparel & Accessories",8.48,4.84,1,2.04,2017-05-16,99.09
101,PEP,"PepsiCo Inc Common",33.4,26.38,1.69,14.035000,"Consumer non-Cyclicals","Non-Alcoholic Beverages",1.68,12.47,1,0.91,2017-05-16,113.79
102,QRVO,"Qorvo Inc Common",32.9,73.66,17.46,45.560000,Technology,"Semiconductor Equipment & Testing",5.52,4.26,1,1.76,2017-05-16,74.84
103,RSG,"Republic Services Inc Common",32.4,35.02,30.19,32.605000,Industrials,"Environmental Services & Equipment",2.88,10.89,1,0.57,2017-05-16,62.18
104,NFLX,"Netflix Inc Common",32.3,65.15,75.18,70.165000,Technology,"Online Services",5.79,5.46,1,2.92,2017-05-16,159.41
105,PPG,"PPG Industries Inc Common",31.9,29.51,-0.03,14.740000,"Basic Materials","Commodity Chemicals",6.00,7.10,1,1.51,2017-05-16,107.41
106,SRE,"Sempra Energy Common",31.8,31.02,0.00,15.510000,Utilities,"Multiline Utilities",1.94,8.29,1,1.33,2017-05-16,110.62
107,NI,"NiSource Inc Common",30.7,26.09,-1.76,12.165000,Utilities,"Multiline Utilities",2.59,7.96,1,0.30,2017-05-16,24.21
108,IR,"Ingersoll-Rand PLC Common",30.3,28.35,33.84,31.095000,Industrials,"Industrial Machinery & Equipment",3.53,7.70,1,1.15,2017-05-16,88.81
109,EQIX,"Equinix Common",30.1,48.01,1.78,24.895000,Financials,"Commercial REITs",3.46,7.65,1,5.58,2017-05-16,427.64
110,FISV,"Fiserv Inc Common",30.0,31.28,6.12,18.700000,Industrials,"Business Support Services",1.91,8.96,1,1.34,2017-05-16,119.75
111,EIX,"Edison International Common",29.9,38.29,1.29,19.790000,Utilities,"Electric Utilities",2.44,8.47,1,0.92,2017-05-16,77.87
112,AVY,"Avery Dennison Corp Common",29.8,38.65,1.76,20.205000,"Basic Materials","Non-Paper Containers & Packaging",9.08,8.94,1,0.94,2017-05-16,84.31
113,CSX,"CSX Corp Common",29.3,107.90,116.24,112.070000,Industrials,"Ground Freight & Logistics",23.40,5.61,1,0.91,2017-05-16,51.12
114,AVB,"AvalonBay Communities Common",29.2,32.31,0.53,16.420000,Financials,"Residential REITs",3.50,7.47,1,2.57,2017-05-16,192.1
115,ED,"Consolidated Edison Inc Common",28.8,28.27,0.00,14.135000,Utilities,"Electric Utilities",1.70,10.03,1,0.79,2017-05-16,79.14
116,PCG,"PG&E Corp Common",28.7,34.17,1.22,17.695000,Utilities,"Electric Utilities",2.17,8.66,1,0.76,2017-05-16,65.55
117,CBOE,"CBOE Holdings Inc Common",28.6,36.39,27.09,31.740000,Financials,"Financial & Commodity Market Operators & Service P",3.32,6.51,1,1.29,2017-05-16,83.93
118,MDT,"Medtronic PLC Common",28.6,23.59,-2.15,10.720000,Healthcare,"Medical Equipment, Supplies & Distribution",2.13,9.74,1,0.86,2017-05-16,83.94
119,ITW,"Illinois Tool Works Inc Common",28.0,21.67,26.52,24.095000,Industrials,"Industrial Conglomerates",3.63,8.53,1,1.61,2017-05-16,137.72
120,ES,"Eversource Energy Common",27.9,31.74,0.38,16.060000,Utilities,"Electric Utilities",1.78,9.21,1,0.65,2017-05-16,59.63
121,HUM,"Humana Inc Common",27.6,11.47,23.40,17.435000,Healthcare,"Managed Healthcare",3.70,6.37,1,3.54,2017-05-16,226.2
122,ALL,"Allstate Corp Common",27.3,38.46,23.32,30.890000,Financials,"Property & Casualty Insurance",3.79,9.42,1,0.89,2017-05-16,84.33
123,CHD,"Church & Dwight Co Inc Common",27.2,33.70,-0.02,16.840000,"Consumer non-Cyclicals","Household Products",4.31,8.60,1,0.58,2017-05-16,49.48
124,REGN,"Regeneron Pharmaceuticals Inc Common",27.0,1.39,-0.01,0.690000,Healthcare,"Biotechnology & Medical Research",6.70,4.05,1,11.12,2017-05-16,454.75
125,CNP,"CenterPoint Energy Inc Common",26.7,44.31,20.11,32.210000,Utilities,"Multiline Utilities",2.32,8.01,1,0.34,2017-05-16,27.19
126,CMS,"CMS Energy Corp Common",26.5,30.42,0.13,15.275000,Utilities,"Multiline Utilities",1.74,9.21,1,0.49,2017-05-16,45.31
127,GOOG,"Alphabet Inc Class C Common",26.4,30.07,17.93,24.000000,Technology,"Online Services",3.63,9.21,1,10.14,2017-05-16,943
128,HON,"Honeywell International Inc Common",26.4,31.43,6.81,19.120000,Industrials,"Industrial Conglomerates",2.67,9.37,1,1.41,2017-05-16,132.01
129,AEP,"American Electric Power Company Inc Common",26.3,30.68,-0.01,15.335000,Utilities,"Electric Utilities",1.73,9.92,1,0.68,2017-05-16,67.86
130,ULTA,"Ulta Beauty Inc Common",26.3,32.12,14.07,23.095000,"Consumer Cyclicals","Other Specialty Retailers",4.62,7.43,1,3.93,2017-05-16,293.33
131,AON,"Aon PLC Class A Common",26.2,18.06,9.86,13.960000,Financials,"Multiline Insurance & Brokers",1.77,9.84,1,1.28,2017-05-16,125.98
132,XL,"XL Group Ltd Common",26.0,29.45,27.75,28.600000,Financials,"Property & Casualty Insurance",2.66,7.92,1,0.53,2017-05-16,42.01
133,TMO,"Thermo Fisher Scientific Inc Common",25.9,30.02,0.31,15.165000,Healthcare,"Advanced Medical Equipment & Technology",6.35,8.28,1,2.08,2017-05-16,172.27
134,ADS,"Alliance Data Systems Corp Common",25.4,18.93,14.86,16.895000,Industrials,"Business Support Services",8.30,4.50,1,5.44,2017-05-16,245.06
135,XRAY,"Dentsply Sirona Inc Common",25.2,10.79,-0.00,5.395000,Healthcare,"Medical Equipment, Supplies & Distribution",3.33,6.48,1,0.96,2017-05-16,62.16
136,MAS,"Masco Corp Common",25.0,22.31,0.42,11.365000,"Consumer Cyclicals","Construction Supplies & Fixtures",5.34,6.94,1,0.54,2017-05-16,37.26
137,PGR,"Progressive Corp Common",24.8,45.15,21.77,33.460000,Financials,"Property & Casualty Insurance",3.17,8.97,1,0.45,2017-05-16,40.12
138,PH,"Parker-Hannifin Corp Common",24.8,35.86,51.60,43.730000,Industrials,"Industrial Machinery & Equipment",3.35,6.18,1,2.53,2017-05-16,156.47
139,MON,"Monsanto Co Common",24.2,31.98,3.81,17.895000,"Basic Materials","Agricultural Chemicals",1.84,16.52,1,0.71,2017-05-16,116.65
140,CI,"Cigna Corp Common",24.2,34.44,18.42,26.430000,Healthcare,"Managed Healthcare",2.38,6.37,1,2.53,2017-05-16,161.34
141,AWK,"American Water Works Company Inc Common",23.8,14.18,-0.12,7.030000,Utilities,"Water & Related Utilities",2.60,7.16,1,1.06,2017-05-16,75.85
142,GLW,"Corning Inc Common",23.7,41.02,40.00,40.510000,Technology,"Electronic Equipment & Parts",5.69,7.06,1,0.42,2017-05-16,29.6
143,DTE,"DTE Energy Co Common",23.5,21.15,6.22,13.685000,Utilities,"Electric Utilities",2.29,10.26,1,1.02,2017-05-16,104.8
144,MA,"Mastercard Inc Class A Common",23.4,26.65,24.71,25.680000,Technology,"Online Services",2.72,9.40,1,1.26,2017-05-16,118.49
145,GOOGL,"Alphabet Inc Class A Common",23.3,29.02,17.04,23.030000,Technology,"Online Services",3.71,8.96,1,10.66,2017-05-16,964.61
146,HSIC,"Henry Schein Inc Common",22.8,34.59,-0.05,17.270000,Healthcare,"Medical Equipment, Supplies & Distribution",2.91,8.01,1,2.21,2017-05-16,176.84
147,DUK,"Duke Energy Corp Common",22.6,25.64,-0.03,12.805000,Utilities,"Electric Utilities",2.76,10.57,1,0.79,2017-05-16,83.12
148,MSFT,"Microsoft Corp Common",22.4,23.03,30.74,26.885000,Technology,Software,2.35,8.96,1,0.77,2017-05-16,69.41
149,ESS,"Essex Property Trust Common",21.4,20.98,2.14,11.560000,Financials,"Residential REITs",3.12,7.09,1,3.58,2017-05-16,254.33
150,ETR,"Entergy Corp Common",21.0,17.95,-1.35,8.300000,Utilities,"Electric Utilities",2.94,8.53,1,0.88,2017-05-16,75.14
151,AFL,"Aflac Inc Common",21.0,8.93,0.13,4.530000,Financials,"Life & Health Insurance",4.07,9.73,1,0.76,2017-05-16,73.74
152,PFG,"Principal Financial Group Inc Common",20.9,20.81,58.04,39.425000,Financials,"Life & Health Insurance",3.32,6.64,1,0.96,2017-05-16,63.98
153,ABBV,"AbbVie Inc Common",20.9,14.13,0.08,7.105000,Healthcare,Pharmaceuticals,4.57,7.38,1,0.91,2017-05-16,66.85
154,JNJ,"Johnson & Johnson Common",20.9,20.10,0.25,10.175000,Healthcare,Pharmaceuticals,3.10,10.91,1,1.17,2017-05-16,127.77
155,HCN,"Welltower Inc Common",20.3,24.24,-1.94,11.150000,Financials,"Specialized REITs",3.04,6.55,1,1.09,2017-05-16,71.6
156,WLTW,"Willis Towers Watson PLC Common",20.2,16.22,1.45,8.835000,Financials,"Multiline Insurance & Brokers",6.22,6.89,1,2.07,2017-05-16,142.65
157,CTSH,"Cognizant Technology Solutions Corp Class A Common",19.9,15.57,0.01,7.790000,Technology,"IT Services & Consulting",4.95,7.47,1,0.87,2017-05-16,65.19
158,GD,"General Dynamics Corp Common",19.5,27.64,44.74,36.190000,Industrials,"Aerospace & Defense",4.42,9.39,1,2.08,2017-05-16,195.29
159,CTAS,"Cintas Corp Common",19.1,9.17,20.96,15.065000,Industrials,"Business Support Services",4.72,8.19,1,1.50,2017-05-16,122.57
160,CSCO,"Cisco Systems Inc Common",18.9,28.17,10.24,19.205000,Technology,"Communications & Networking",2.38,8.57,1,0.40,2017-05-16,34.3
161,GT,"Goodyear Tire & Rubber Co Common",18.9,30.15,29.35,29.750000,"Consumer Cyclicals","Tires & Rubber Products",5.90,4.49,-1,0.75,2017-05-16,33.56
162,LNT,"Alliant Energy Corp Common",18.5,19.75,0.01,9.880000,Utilities,"Electric Utilities",2.27,8.73,1,0.45,2017-05-16,39.38
163,UTX,"United Technologies Corp Common",18.4,14.95,10.86,12.905000,Industrials,"Aerospace & Defense",1.36,10.64,1,1.14,2017-05-16,121.4
164,ROK,"Rockwell Automation Inc Common",18.3,39.72,42.99,41.355000,Industrials,"Electrical Components & Equipment",7.73,6.17,1,2.55,2017-05-16,157.5
165,LMT,"Lockheed Martin Corp Common",18.2,6.62,6.55,6.585000,Industrials,"Aerospace & Defense",2.24,10.51,1,2.58,2017-05-16,271.65
166,UNH,"UnitedHealth Group Inc Common",18.2,17.90,26.93,22.415000,Healthcare,"Managed Healthcare",3.68,7.73,1,2.18,2017-05-16,168.12
167,HRB,"H & R Block Inc Common",18.2,2.10,0.07,1.085000,"Consumer non-Cyclicals","Personal Services",14.88,4.23,1,0.60,2017-05-16,25.18
168,AMP,"Ameriprise Financial Inc Common",17.7,30.29,37.85,34.070000,Financials,"Investment Management & Fund Operators",4.26,5.93,1,2.19,2017-05-16,129.92
169,ECL,"Ecolab Inc Common",17.6,18.02,1.66,9.840000,"Basic Materials","Specialty Chemicals",3.09,10.17,1,1.25,2017-05-16,127.38
170,CBG,"CBRE Group Inc Class A Common",17.5,27.39,17.85,22.620000,Financials,"Real Estate Services",7.70,5.01,1,0.69,2017-05-16,34.35
171,CL,"Colgate-Palmolive Co Common",17.4,23.27,-0.12,11.575000,"Consumer non-Cyclicals","Personal Products",5.22,9.31,1,0.77,2017-05-16,71.58
172,EW,"Edwards Lifesciences Corp Common",17.2,22.26,-1.76,10.250000,Healthcare,"Advanced Medical Equipment & Technology",10.49,5.53,1,2.05,2017-05-16,113.65
173,LLL,"L3 Technologies Inc Common",17.1,16.41,14.15,15.280000,Industrials,"Aerospace & Defense",3.18,7.16,1,2.28,2017-05-16,163.69
